fish_id,name_english,alt_name,name_latin,swim,cm_max,uncare,breeding_difficulty,availability,school,tank_size_liter,temperature_min,temperature_max,agression,origin,region,isfish,phmin,phmax,more,family
349,Toba betta,,Betta rubra,2,4,2,4,1,1,40,22,27,2,"Sumatra,",3,1,6,7.5,0,Osphronemidae
350,Giant Pikehead,,Luciocephalus pulcher,2,20,1,4,1,1,135,22,26,3,"Thailand, Malaysia, Indonesia,",3,1,6,7.5,0,Osphronemidae
351,Chocolate gourami,,Sphaerichthys osphromenoides,2,5,2,2,3,2,65,26,31,1,"Sumatra, Borneo,",3,1,5.5,7,0,Osphronemidae
352,Pearl gourami,,Trichopodus leerii,2,12,3,2,2,2,115,24,30,1,"Malaysia,Thailand, Sumatra",3,1,6,7.5,0,Osphronemidae
353,Three spot gourami,,Trichopodus trichopterus,2,13,2,2,2,2,115,24,30,2,"China, South East Asia",3,1,6,7.5,0,Osphronemidae
354,Croaking gourami,,Trichopsis vittata,2,7,3,2,2,2,95,22,28,1,South East Asia,3,1,6,7.5,0,Osphronemidae
355,Giant gourami,,Osphronemus goramy,2,70,2,4,1,2,475,20,30,2,South East Asia,3,1,6.5,7.5,0,Osphronemidae
356,Kissing gourami,,Helostoma temminckii,2,25,2,4,1,2,135,22,30,2,"Java, Sumatra, Borneo ,",3,1,6,7.5,0,Helostomatidae
357,Climbing perch,,Anabas testudineus,1,20,2,4,1,1,150,15,30,3,"South Asia, South East Asia","4, 3",1,6,7.5,0,Anabantidae
358,Leopard bush fish,,Ctenopoma acutirostre,2,16,3,4,1,2,150,20,28,2,Congo Basin,2,1,6,7.5,0,Anabantidae
359,African leaf fish,,Polycentropsis abbreviata,2,8,2,4,1,1,75,26,31,2,"Cameroon, Benin, Gabon, Nigeria,",2,1,6,7.5,0,Nandidae
360,Bornean leaf fish,,Nandus nebulosus,2,12,2,4,1,2,95,22,26,2,"Thailand, Sunda Islands",3,1,6,7.5,0,Nandidae
361,Malayan leaf fish,,Pristolepis fasciata,2,20,1,3,1,1,150,23,28,2,"Thailand,",3,1,6,7.5,0,Pristolepididae
362,Forest snakehead,,Channa lucius,1,40,2,4,1,1,265,20,30,3,South East Asia,3,1,6,7.5,0,Channidae
363,Dwarf snakehead,,Channa gachua,1,20,2,3,1,1,150,18,28,3,"South Asia, South East Asia","4, 3",1,6,7.5,0,Channidae
364,Ocellated snakehead,,Channa pleurophthalma,2,40,2,4,1,1,265,24,28,2,"Sumatra, Borneo,",3,1,6,7.5,0,Channidae
365,African snakehead,,Parachanna obscura,2,45,2,4,1,1,280,26,30,3,West Africa,2,1,6,7.5,0,Channidae
366,Empire gudgeon,,Hypseleotris compressa,2,12,2,4,1,2,100,20,35,2,"Australia, New Guinea,",9,1,6.5,7.5,0,Eleotridae
367,Purple spotted gudgeon,,Mogurnda mogurnda,1,20,2,3,1,1,150,20,26,2,"Australia, New Guinea,",9,1,6.5,7.5,0,Eleotridae
368,Peacock gudgeon,Peacock goby,Tateurndina ocellicauda,2,7.5,2,3,1,2,75,22,26,1,"New Guinea,",3,1,6,7.5,0,Eleotridae
369,Black toraja goby,Sarasin’s goby,Mugilogobius sarasinorum,1,8,1,4,1,2,80,26,28,2,"Sulawesi,",3,1,6.5,7.5,0,Gobiidae
370,Bumblebee goby,,Brachygobius doriae,1,4,1,4,2,2,45,22,28,2,"Borneo,",3,1,6.5,7.5,1,Gobiidae
371,Knight goby,,Stigmatogobius sadanundio,1,9,1,4,1,3,80,20,26,2,"South Asia, South East Asia","4, 3",1,6.5,7.5,0,Gobiidae
372,Rainbow stiphodon,,Stiphodon ornatus,1,6.5,1,4,2,2,50,20,26,2,"Sumatra,",3,1,6.5,7.5,0,Oxudercidae
373,Cobalt blue goby,,Stiphodon semoni,1,4.5,1,4,2,2,50,20,26,2,"Sumatra, New Guinea ,",3,1,6.5,7.5,1,Gobiidae
375,Marbled goby,,Oxyeleotris marmorata,1,60,2,4,1,1,550,22,28,3,"South Asia,",4,1,6,7.5,0,Butidae
383,Pumpkinseed Sunfish,,Lepomis gibbosus,2,25,3,4,2,1,265,5,23,3,"United States, Canada,",8,1,6.5,8.5,0,Centrarchidae
